,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,4,4,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0075,0,0,1,7
0,2,11,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0075,0,0,1,7
0,4,1,4,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0075,0,2,1,7
1,4,1,4,5,2,10,3,4,2,12,0,0,0,0,0.16666666666666666,0.01,0.0075,1,2,1,3
2,4,1,4,5,2,10,3,4,2,12,2,8,0,0,0.16666666666666666,0.01,0.0075,2,0,1,3
0,2,4,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,3,2,3,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,4,9,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.0075,0,1,1,3
1,4,9,4,11,2,10,3,4,2,12,0,0,0,0,0.16666666666666666,0.02,0.0075,1,1,1,3
2,4,9,4,11,2,10,3,4,2,12,2,8,0,0,0.16666666666666666,0.02,0.0075,2,1,1,3
0,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,7
0,4,5,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,3
1,4,5,2,4,1,2,2,9,4,11,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,1,1,6
2,4,5,2,4,1,2,2,9,4,11,2,11,0,0,0.16666666666666666,0.0225,0.006666666666666667,2,0,1,6
0,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,4,3,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,6
0,3,13,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,6
